macrozheng/mall,f2b823322e630794f61f3206430e12f01a359740,8.511650491,0
google/guava,a2bbcc3bc2b4f94666d99a98a31445b8fbd1e152,602.938644089,0
eugenp/tutorials,18464bf799a6242582e7175f961a37d1463ce855,1.213039607,0
apolloconfig/apollo,5ad5b410f0ff43111855d7bd76e047d08ab477b4,3280.048409263,0
alibaba/druid,98f6ea65ae08128829dadc788147e509b7876d82,37788.355126452,1
alibaba/fastjson,869746101f6dd73b70d8a9c2b6dc59de4352519e,11.660334391,0
xkcoding/spring-boot-demo,f10dc0a45be84e89acb48f6cf259620f52838b6e,43605.402173352,1
alibaba/easyexcel,f8fd5f0427f04574c6d672615e8256c603e0b172,152.685562696,0
alibaba/canal,b54bea5e3337c9597c427a53071d214ff04628d1,9324.229059803,0
seata/seata,6f877fafd0bc4ad2f4840e7940c93493f9aa45d5,8058.913255381,0
xuxueli/xxl-job,9fe7aaa12e69ddb3cf99ee5681adbc32aa65ad54,2.662444141,0
jenkinsci/jenkins,cc30606c2706b4218acdfd5704fec37278a2cf25,75.748389700,0
alibaba/Sentinel,0a34fc4d11392f0587e7ba5bf2626f902b23c750,23.776244769,0
elunez/eladmin,08f6c582112cdeaa785d79f04bbc90d4c0ca9b62,69042.975139933,0
linlinjava/litemall,7d79dfc68c36bd31e30c72acfdfd366f932bde0f,23,0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,4922c077c07a3744ae67ee8a932786f15bf57411,9.911529506,0
openzipkin/zipkin,745fbad95878ed56588c8fb562ce0b2f9da17b4f,36757.205637363,0
apache/shardingsphere,011e12e18ed0c02b27ef23f7c46f0a99209446bb,86771.741120149,0
JeffLi1993/springboot-learning-example,87692cb86fade44b2a368bf625abeaecb56709a6,1496.681491686,3
eclipse-vertx/vert.x,3c494da0a4a854e52ee64f3571dc054d3d1d8ae3,10.763209883,0
YunaiV/SpringBoot-Labs,85c7322b9d1a225a4ba095f28a2b7f4b8f257da5,2.713523034,0
xkcoding/spring-boot-demo,f10dc0a45be84e89acb48f6cf259620f52838b6e,65832.816014323,5
alibaba/druid,98f6ea65ae08128829dadc788147e509b7876d82
